,Open,High,Low,Close
2019-01-04 00:00:00+00:00,59.614246988000005,60.1009977065,59.614246988000005,60.1009977065
2019-01-07 00:00:00+00:00,59.281069554,59.281069554,58.881406831999996,58.881406831999996
2019-01-08 00:00:00+00:00,59.4403223765,59.645633169999996,59.4403223765,59.645633169999996
2019-01-09 00:00:00+00:00,60.134441939,60.134441939,59.634868875,59.634868875
2019-01-10 00:00:00+00:00,59.0064704355,59.6445821855,59.0064704355,59.6445821855
2019-01-11 00:00:00+00:00,59.875069060499996,60.007046332499996,59.875069060499996,60.007046332499996
2019-01-14 00:00:00+00:00,59.349561037,59.402975882999996,59.349561037,59.402975882999996
2019-01-15 00:00:00+00:00,60.062883895,60.1532185005,60.062883895,60.1532185005
2019-01-16 00:00:00+00:00,60.816884966,60.903457329999995,60.816884966,60.903457329999995
2019-01-17 00:00:00+00:00,62.1522245135,62.5602698,62.1522245135,62.5602698
2019-01-18 00:00:00+00:00,62.858431408499996,63.0534768705,62.858431408499996,63.0534768705
2019-01-21 00:00:00+00:00,62.4126717835,62.4126717835,62.1946756515,62.1946756515
2019-01-22 00:00:00+00:00,62.7147967705,62.7799917035,62.7147967705,62.7799917035
2019-01-23 00:00:00+00:00,63.2863835375,63.313259564999996,63.2863835375,63.313259564999996
2019-01-24 00:00:00+00:00,62.665563536,62.665563536,62.370135135,62.370135135
2019-01-25 00:00:00+00:00,61.129637883,61.180168285,61.129637883,61.180168285
2019-01-28 00:00:00+00:00,61.0388433955,61.1869218625,61.0388433955,61.1869218625
2019-01-29 00:00:00+00:00,60.79577155849999,61.363120357,60.79577155849999,61.363120357
2019-01-30 00:00:00+00:00,61.8975457715,61.8975457715,61.5079168755,61.5079168755
2019-01-31 00:00:00+00:00,60.4890065635,60.6734076435,60.4890065635,60.6734076435
2019-02-01 00:00:00+00:00,60.2150387595,60.5532227635,60.2150387595,60.5532227635
2019-02-04 00:00:00+00:00,59.9111808755,60.1894497815,59.9111808755,60.1894497815
2019-02-05 00:00:00+00:00,60.783228961,60.783228961,60.369008911,60.369008911
2019-02-06 00:00:00+00:00,60.6037545785,60.996624173499995,60.6037545785,60.996624173499995
2019-02-07 00:00:00+00:00,61.077216884,61.077216884,60.7595299725,60.7595299725
2019-02-08 00:00:00+00:00,59.9922582305,59.9922582305,59.6485086705,59.6485086705
2019-02-11 00:00:00+00:00,58.371024825,58.674927409999995,58.371024825,58.674927409999995
2019-02-12 00:00:00+00:00,58.406452241500006,58.753898243,58.406452241500006,58.753898243
2019-02-13 00:00:00+00:00,58.1640269245,58.23076972,58.1640269245,58.23076972
2019-02-14 00:00:00+00:00,59.2775680275,59.2775680275,58.739960389000004,58.739960389000004
2019-02-15 00:00:00+00:00,58.778583815000005,59.153785292,58.778583815000005,59.153785292
2019-02-18 00:00:00+00:00,59.206154396,59.206154396,58.854329147499996,58.854329147499996
2019-02-19 00:00:00+00:00,58.8267784845,58.926415470500004,58.8267784845,58.926415470500004
2019-02-20 00:00:00+00:00,59.7665903755,59.7665903755,59.567555697,59.567555697
2019-02-21 00:00:00+00:00,59.2634602555,59.2634602555,58.9744986635,58.9744986635
2019-02-22 00:00:00+00:00,58.5238051325,58.6484496125,58.5238051325,58.6484496125
2019-02-25 00:00:00+00:00,58.1986666665,58.357604651,58.1986666665,58.357604651
2019-02-26 00:00:00+00:00,59.0520226375,59.2114477075,59.0520226375,59.2114477075
2019-02-27 00:00:00+00:00,59.549407039,59.620006352999994,59.549407039,59.620006352999994
2019-02-28 00:00:00+00:00,60.11450455,60.5001278195,60.11450455,60.5001278195
2019-03-01 00:00:00+00:00,60.1079950765,60.690369096,60.1079950765,60.690369096
2019-03-04 00:00:00+00:00,60.8569276535,61.322247911000005,60.8569276535,61.322247911000005
2019-03-05 00:00:00+00:00,61.074968386,61.074968386,60.953907207,60.953907207
2019-03-06 00:00:00+00:00,60.565636627,60.565636627,60.312283835,60.312283835
2019-03-07 00:00:00+00:00,59.809186586,60.23813979,59.809186586,60.23813979
2019-03-08 00:00:00+00:00,60.273347843500005,60.307621899,60.273347843500005,60.307621899
2019-03-11 00:00:00+00:00,60.1013790665,60.1013790665,59.988668607,59.988668607
2019-03-12 00:00:00+00:00,59.714191790499996,59.728870448500004,59.714191790499996,59.728870448500004
2019-03-13 00:00:00+00:00,58.993043668,58.993043668,58.567728353,58.567728353
2019-03-14 00:00:00+00:00,58.595364665000005,58.7032298545,58.595364665000005,58.7032298545
2019-03-15 00:00:00+00:00,58.4664506425,58.4664506425,57.680012426000005,57.680012426000005
2019-03-18 00:00:00+00:00,56.794285991500004,56.83375,56.794285991500004,56.83375
2019-03-19 00:00:00+00:00,56.823442944,56.9625402415,56.823442944,56.9625402415
2019-03-20 00:00:00+00:00,56.3530573245,56.9671344155,56.3530573245,56.9671344155
2019-03-21 00:00:00+00:00,56.9601798865,57.204514552,56.9601798865,57.204514552
2019-03-22 00:00:00+00:00,56.628545733,56.645734907999994,56.628545733,56.645734907999994
2019-03-25 00:00:00+00:00,56.713597641,56.713597641,56.6798687615,56.6798687615
2019-03-26 00:00:00+00:00,57.0815720965,57.3012935155,57.0815720965,57.3012935155
2019-03-27 00:00:00+00:00,57.7659904895,58.3357359185,57.7659904895,58.3357359185
2019-03-28 00:00:00+00:00,58.2369236845,58.720747275,58.2369236845,58.720747275
2019-03-29 00:00:00+00:00,57.6186873935,57.7371109055,57.6186873935,57.7371109055
2019-04-01 00:00:00+00:00,57.152438479,57.271681957,57.152438479,57.271681957
2019-04-02 00:00:00+00:00,57.373031961500004,57.527055016,57.373031961500004,57.527055016
2019-04-03 00:00:00+00:00,58.179351738,58.6149726625,58.179351738,58.6149726625
2019-04-04 00:00:00+00:00,59.848203448,60.209012923,59.848203448,60.209012923
2019-04-05 00:00:00+00:00,61.312973288500004,61.4086982735,61.312973288500004,61.4086982735
2019-04-08 00:00:00+00:00,61.9154392575,61.9154392575,61.681551696499994,61.681551696499994
2019-04-09 00:00:00+00:00,62.6173048965,62.6173048965,62.334022326500005,62.334022326500005
2019-04-10 00:00:00+00:00,63.9588966745,63.9588966745,63.74144261,63.74144261
2019-04-11 00:00:00+00:00,62.87106338,63.2985555985,62.87106338,63.2985555985
2019-04-12 00:00:00+00:00,63.5060806155,63.5060806155,63.35,63.35
2019-04-15 00:00:00+00:00,63.6424844585,63.6424844585,63.291901086500005,63.291901086500005
2019-04-16 00:00:00+00:00,62.73035041999999,62.7603315235,62.73035041999999,62.7603315235
2019-04-17 00:00:00+00:00,63.1846130505,63.342829386,63.1846130505,63.342829386
2019-04-18 00:00:00+00:00,63.40324407,63.40324407,63.1894667555,63.1894667555
2019-04-23 00:00:00+00:00,63.0585776855,63.3869344165,63.0585776855,63.3869344165
2019-04-24 00:00:00+00:00,63.603390157,63.603390157,63.2966282285,63.2966282285
2019-04-26 00:00:00+00:00,63.249183415000005,63.249183415000005,63.015943198,63.015943198
2019-04-29 00:00:00+00:00,63.0528818145,63.088914224999996,63.0528818145,63.088914224999996
2019-04-30 00:00:00+00:00,62.2205822385,62.363256806,62.2205822385,62.363256806
2019-05-02 00:00:00+00:00,60.8377160805,60.8377160805,60.712176196,60.712176196
2019-05-03 00:00:00+00:00,60.738456693,61.096822139500006,60.738456693,61.096822139500006
2019-05-06 00:00:00+00:00,61.326957994500006,61.60226196,61.326957994500006,61.60226196
2019-05-07 00:00:00+00:00,62.4336161175,62.4336161175,62.3906077795,62.3906077795
2019-05-08 00:00:00+00:00,62.402059979,62.490629717000004,62.402059979,62.490629717000004
2019-05-09 00:00:00+00:00,62.9827202735,62.9827202735,62.600799284000004,62.600799284000004
2019-05-10 00:00:00+00:00,61.9061586735,61.9061586735,61.437326802,61.437326802
2019-05-13 00:00:00+00:00,60.93,61.07,60.93,61.07
2019-05-14 00:00:00+00:00,60.9461727495,61.141135496000004,60.9461727495,61.141135496000004
2019-05-15 00:00:00+00:00,61.5563430235,61.5563430235,61.4782168205,61.4782168205
2019-05-16 00:00:00+00:00,61.835829311,61.8771060495,61.835829311,61.8771060495
